DateKey,ProductKey,SalespersonKey,CityKey,UnitsSold,Revenue,Cost
20240201,4,4,2,53,140.97002945792906,84.45872221500262
20241230,2,2,2,154,466.8500020905673,326.9443888796682
20230511,5,2,2,81,165.3815969620021,115.70715760260187
20240718,4,3,1,246,697.1975633798794,517.2971569778653
20240205,4,4,1,112,247.27946768994155,131.01995879900278
20240101,1,1,1,135,357.44080488360237,240.60722705808962
20250921,4,6,2,152,344.9079878272139,178.92072064071553
20231111,1,1,1,212,446.7948615915384,246.98111425152507
20250627,5,1,3,49,157.37961859234034,94.05797167905881
20210502,5,3,1,80,240.6141214696603,171.36941292173802
20220412,5,3,4,47,102.972218593476,81.57082201438561
20240523,3,5,1,96,227.44927519012012,137.09647088594159
20211127,5,1,1,140,403.6769570050968,264.9506845107513
20250122,4,1,1,22,68.68746634598241,39.68189492068629
20210329,2,3,1,56,160.6462214363678,112.87756726930996
20241028,1,3,4,166,428.589284786636,261.42907488064895
20240129,3,5,5,111,378.3736546887423,243.85381861275752
20230522,5,5,1,292,890.0998739290732,596.6729877275213
20250815,5,2,3,106,183.50547440295318,129.53150449298343
20210511,2,4,4,59,154.36041365745825,79.96108661198029
20250813,2,1,5,197,456.8653167098867,304.48717754158577
20240825,3,1,1,61,188.48214768847683,118.62109439290722
20230209,1,5,5,85,135.09271575576344,72.96756451963456
20211210,5,5,3,143,331.9669410092544,186.7018594257429
20250224,3,2,4,164,350.3946314326634,268.11041852573646
20241208,4,4,4,139,247.7497037131617,188.66952624422873
20230317,4,2,5,128,288.97385352181044,147.37639837880675
20220121,3,4,1,111,315.86166175695433,223.2574810703587
20240430,5,6,2,79,175.64510583513913,117.02463969812015
20230814,3,1,4,246,654.3632350733637,511.67589818519224
20211004,5,2,2,259,695.5765102965621,537.2644882889773
20240330,2,5,4,231,617.7453407008113,416.27917174406457
20220405,3,2,1,117,299.4104608429441,162.18659752998252
20240830,5,6,1,33,57.221223555037604,36.50396525652258
20210122,3,2,4,237,459.0481096043445,329.38965433952967
20210910,3,1,5,189,585.9253548228739,460.2566650953253
20230118,5,6,1,299,748.9145623757806,456.20042324448104
20230507,5,5,1,229,666.8829526530322,490.4266855504714
20250504,1,5,3,275,725.949994117019,511.79636180594554
20220420,3,3,1,190,299.7022967100906,156.89050589264946
20231219,4,6,3,92,284.5033334992937,189.87554892621245
20220526,3,3,1,166,270.3556325836444,150.06161032469043
20250902,3,3,1,125,423.2935127896433,298.44935071006165
20250208,5,1,5,113,218.17518430534713,149.0192043296256
20221201,3,2,5,82,207.03460752746452,163.95369269075996
20230903,3,5,1,173,281.5014626931621,219.74420786971973
20251212,4,5,4,274,901.42294350887,453.24613792995166
20210709,5,2,4,54,186.83354749299886,97.902428449346
20230816,3,5,1,272,487.5831214803273,356.2966332614979
20221118,2,2,4,176,368.116862957719,259.77746461865263
20230816,1,6,1,153,234.35757306891742,173.49108652305378
20220717,4,1,5,148,454.9417856223671,263.88647001600987
20250510,3,1,2,299,634.7556709434847,479.1115686517636
20240621,2,1,3,271,725.6499083832725,459.13744898618626
20230412,3,2,4,154,243.0792983942445,140.63900840657115
20250309,3,2,4,30,87.92761600048485,44.243622187124764
20240229,5,4,5,167,427.3209237611468,325.3660871679781
20250217,5,5,4,99,292.04608870776934,192.9265675391909
20221009,5,5,1,210,646.6170115234048,512.5181001884579
20210121,2,4,1,49,82.2458008855257,58.75676342164475
20230421,3,4,2,248,658.7336919134397,345.2588905039662
20210616,1,1,2,103,288.3884709796141,195.08250255686676
20240721,4,4,2,169,428.15093883340825,216.27503575744103
20220123,5,2,1,208,387.8823096782909,258.847269011771
20220824,5,3,2,40,123.64778272461896,74.81438910691209
20211112,3,2,2,56,195.715332830035,135.62852393506503
20210114,3,4,1,265,911.2132337871171,603.6534920363652
20210830,2,5,5,121,369.66215472449,213.81447446964762
20230216,2,2,4,251,586.3900768387836,321.755274263908
20241001,5,5,3,264,574.0946628595316,356.7501427217898
20220719,3,2,1,196,320.86995324752604,255.42881328638913
20230617,1,5,1,232,541.1568449407844,341.312812969782
20240925,4,6,3,121,219.26376065109537,158.8864454553734
20210402,3,2,3,41,82.35544650749434,42.585347295848116
20241022,3,5,2,38,124.78339476147868,76.57454425361121
20230814,2,3,3,295,1013.9301225916192,683.4871637707877
20250118,4,1,4,166,563.9215881546324,409.04557332104224
20241222,5,2,4,59,111.31597092952013,73.30324741602188
20220524,3,3,4,186,614.1326454635401,402.0042677532339
20230215,5,1,4,110,196.13116619805834,143.01336918936144
20210204,3,2,4,91,228.89415783345927,135.9599973813126
20210725,5,3,2,159,443.1849507900708,233.63964116507063
20240110,4,3,1,258,625.6329065198161,377.9730807146108
